Date	PD	Sex	TrapID	WoY	OLRE
27/02/2018	0	M	102	9	2848
27/02/2018	0	M	101	9	2849
27/02/2018	0	M	100	9	2850
27/02/2018	0	M	124	9	2851
27/02/2018	0	M	123	9	2852
27/02/2018	0	M	122	9	2853
27/02/2018	0	M	121	9	2854
27/02/2018	0	M	120	9	2855
27/02/2018	1	M	134	9	2856
27/02/2018	0	M	133	9	2857
27/02/2018	1	M	132	9	2858
27/02/2018	0	M	131	9	2859
27/02/2018	0	M	130	9	2860
27/02/2018	0	M	144	9	2861
27/02/2018	1	M	143	9	2862
27/02/2018	0	M	142	9	2863
27/02/2018	0	M	141	9	2864
27/02/2018	0	M	140	9	2865
27/02/2018	0	M	154	9	2866
27/02/2018	1	M	153	9	2867
27/02/2018	2	M	152	9	2868
27/02/2018	1	M	151	9	2869
27/02/2018	0	M	150	9	2870
13/03/2018	0	F	14	11	2871
13/03/2018	0	F	13	11	2872
13/03/2018	1	F	12	11	2873
13/03/2018	0	F	11	11	2874
13/03/2018	0	F	10	11	2875
13/03/2018	0	F	24	11	2876
13/03/2018	0	F	23	11	2877
13/03/2018	0	F	22	11	2878
13/03/2018	0	F	21	11	2879
13/03/2018	0	F	20	11	2880
13/03/2018	0	F	34	11	2881
13/03/2018	0	F	33	11	2882
13/03/2018	0	F	32	11	2883
13/03/2018	0	F	31	11	2884
13/03/2018	0	F	30	11	2885
13/03/2018	0	F	44	11	2886
13/03/2018	0	F	43	11	2887
13/03/2018	0	F	42	11	2888
13/03/2018	0	F	41	11	2889
13/03/2018	0	F	40	11	2890
13/03/2018	0	F	54	11	2891
13/03/2018	0	F	53	11	2892
13/03/2018	0	F	52	11	2893
13/03/2018	0	F	51	11	2894
13/03/2018	0	F	50	11	2895
13/03/2018	0	F	64	11	2896
13/03/2018	0	F	63	11	2897
13/03/2018	0	F	62	11	2898
13/03/2018	0	F	61	11	2899
13/03/2018	0	F	60	11	2900
13/03/2018	0	F	74	11	2901
13/03/2018	0	F	73	11	2902
13/03/2018	0	F	72	11	2903
13/03/2018	0	F	71	11	2904
13/03/2018	0	F	70	11	2905
13/03/2018	0	F	84	11	2906
13/03/2018	0	F	83	11	2907
13/03/2018	0	F	82	11	2908
13/03/2018	0	F	81	11	2909
13/03/2018	0	F	80	11	2910
13/03/2018	0	F	94	11	2911
13/03/2018	0	F	93	11	2912
13/03/2018	0	F	92	11	2913
13/03/2018	0	F	91	11	2914
13/03/2018	0	F	90	11	2915
13/03/2018	0	F	104	11	2916
13/03/2018	0	F	103	11	2917
13/03/2018	0	F	102	11	2918
13/03/2018	0	F	101	11	2919
13/03/2018	0	F	100	11	2920
13/03/2018	0	F	124	11	2921
13/03/2018	0	F	123	11	2922
13/03/2018	0	F	122	11	2923
13/03/2018	0	F	121	11	2924
13/03/2018	0	F	120	11	2925
13/03/2018	0	F	134	11	2926
13/03/2018	0	F	133	11	2927
13/03/2018	0	F	132	11	2928
13/03/2018	0	F	131	11	2929
13/03/2018	0	F	130	11	2930
13/03/2018	0	F	144	11	2931
13/03/2018	0	F	143	11	2932
13/03/2018	0	F	142	11	2933
13/03/2018	0	F	141	11	2934
13/03/2018	0	F	140	11	2935
13/03/2018	0	F	154	11	2936
13/03/2018	0	F	153	11	2937
13/03/2018	0	F	152	11	2938
13/03/2018	0	F	151	11	2939
13/03/2018	0	F	150	11	2940
13/03/2018	0	M	14	11	2871
13/03/2018	0	M	13	11	2872
13/03/2018	0	M	12	11	2873
13/03/2018	0	M	11	11	2874
13/03/2018	0	M	10	11	2875
13/03/2018	0	M	24	11	2876
13/03/2018	0	M	23	11	2877
13/03/2018	0	M	22	11	2878
13/03/2018	0	M	21	11	2879
13/03/2018	0	M	20	11	2880
13/03/2018	0	M	34	11	2881
13/03/2018	1	M	33	11	2882
13/03/2018	1	M	32	11	2883
13/03/2018	0	M	31	11	2884
13/03/2018	0	M	30	11	2885
13/03/2018	0	M	44	11	2886
13/03/2018	0	M	43	11	2887
13/03/2018	0	M	42	11	2888
13/03/2018	0	M	41	11	2889
13/03/2018	0	M	40	11	2890
13/03/2018	0	M	54	11	2891
13/03/2018	0	M	53	11	2892
13/03/2018	0	M	52	11	2893
13/03/2018	0	M	51	11	2894
13/03/2018	0	M	50	11	2895
13/03/2018	0	M	64	11	2896
13/03/2018	0	M	63	11	2897
13/03/2018	2	M	62	11	2898
13/03/2018	0	M	61	11	2899
13/03/2018	0	M	60	11	2900
13/03/2018	0	M	74	11	2901
13/03/2018	0	M	73	11	2902
13/03/2018	0	M	72	11	2903
13/03/2018	0	M	71	11	2904
13/03/2018	0	M	70	11	2905
13/03/2018	0	M	84	11	2906
13/03/2018	0	M	83	11	2907
13/03/2018	0	M	82	11	2908
13/03/2018	0	M	81	11	2909
13/03/2018	0	M	80	11	2910
13/03/2018	0	M	94	11	2911
13/03/2018	0	M	93	11	2912
13/03/2018	0	M	92	11	2913
13/03/2018	0	M	91	11	2914
13/03/2018	0	M	90	11	2915
13/03/2018	0	M	104	11	2916
13/03/2018	0	M	103	11	2917
13/03/2018	0	M	102	11	2918
13/03/2018	0	M	101	11	2919
13/03/2018	0	M	100	11	2920
13/03/2018	0	M	124	11	2921
13/03/2018	0	M	123	11	2922
13/03/2018	1	M	122	11	2923
13/03/2018	0	M	121	11	2924
13/03/2018	0	M	120	11	2925
13/03/2018	0	M	134	11	2926
13/03/2018	1	M	133	11	2927
13/03/2018	0	M	132	11	2928
13/03/2018	0	M	131	11	2929
13/03/2018	0	M	130	11	2930
13/03/2018	0	M	144	11	2931
13/03/2018	0	M	143	11	2932
13/03/2018	0	M	142	11	2933
13/03/2018	0	M	141	11	2934
13/03/2018	0	M	140	11	2935
13/03/2018	0	M	154	11	2936
13/03/2018	0	M	153	11	2937
13/03/2018	0	M	152	11	2938
13/03/2018	0	M	151	11	2939
13/03/2018	0	M	150	11	2940
27/03/2018	0	F	14	13	2941
27/03/2018	0	F	13	13	2942
27/03/2018	0	F	12	13	2943
27/03/2018	0	F	11	13	2944
27/03/2018	0	F	10	13	2945
27/03/2018	2	F	24	13	2946
27/03/2018	0	F	23	13	2947
27/03/2018	0	F	22	13	2948
27/03/2018	0	F	21	13	2949
27/03/2018	0	F	20	13	2950
27/03/2018	0	F	34	13	2951
27/03/2018	0	F	33	13	2952
27/03/2018	0	F	32	13	2953
27/03/2018	0	F	31	13	2954
27/03/2018	0	F	30	13	2955
27/03/2018	0	F	44	13	2956
27/03/2018	1	F	43	13	2957
27/03/2018	1	F	42	13	2958
27/03/2018	0	F	41	13	2959
27/03/2018	0	F	40	13	2960
27/03/2018	0	F	54	13	2961
27/03/2018	0	F	53	13	2962
27/03/2018	0	F	52	13	2963
27/03/2018	0	F	51	13	2964
27/03/2018	0	F	50	13	2965
27/03/2018	1	F	64	13	2966
27/03/2018	0	F	63	13	2967
27/03/2018	0	F	62	13	2968
